Date,Time In,Time Out,Pond,Site ID,Mesh Size,Species,Length mm,Stretch in,Panel Length ft,COMMON NAME
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,110,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,86,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,969,105,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 19:08:00,12/30/1899 8:03:00,Ninigret Pond,2C,1,969,105,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:49:00,12/30/1899 7:30:00,Ninigret Pond,1U,1,969,73,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:49:00,12/30/1899 7:30:00,Ninigret Pond,1U,1,969,102,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:59:00,12/30/1899 7:50:00,Ninigret Pond,2S,1,969,165,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:59:00,12/30/1899 7:50:00,Ninigret Pond,2S,1,969,165,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:59:00,12/30/1899 7:50:00,Ninigret Pond,2S,1,969,145,3.00,15,BlUE CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,983,48,3.00,15,SPIDER CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,983,45,3.00,15,SPIDER CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,983,50,3.00,15,SPIDER CRAB
6/16/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 6:57:00,Ninigret Pond,1C,1,983,58,3.00,15,SPIDER CRAB
