Date,Time In,Time Out,Pond,Site ID
8/23/2016 0:00:00,12/30/1899 18:44:00,12/30/1899 8:25:00,Quonochontaug Pond,1C
8/23/2016 0:00:00,12/30/1899 18:31:00,12/30/1899 7:45:00,Quonochontaug Pond,1D
8/23/2016 0:00:00,12/30/1899 19:03:00,12/30/1899 9:03:00,Quonochontaug Pond,2A
8/23/2016 0:00:00,12/30/1899 19:09:00,12/30/1899 9:13:00,Quonochontaug Pond,2B
8/25/2016 0:00:00,12/30/1899 18:44:00,12/30/1899 7:05:00,Quonochontaug Pond,2C
8/25/2016 0:00:00,12/30/1899 18:34:00,12/30/1899 6:48:00,Quonochontaug Pond,2D
8/25/2016 0:00:00,12/30/1899 18:40:00,12/30/1899 7:00:00,Quonochontaug Pond,3A
8/25/2016 0:00:00,12/30/1899 18:30:00,12/30/1899 6:38:00,Quonochontaug Pond,3B
8/25/2016 0:00:00,12/30/1899 18:48:00,12/30/1899 7:10:00,Quonochontaug Pond,3C
8/25/2016 0:00:00,12/30/1899 18:52:00,12/30/1899 7:23:00,Quonochontaug Pond,3D
9/12/2016 0:00:00,12/30/1899 19:02:00,12/30/1899 7:11:00,Ninigret Pond,3C
9/12/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 6:42:00,Ninigret Pond,3S
9/12/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 6:42:00,Ninigret Pond,3U
9/12/2016 0:00:00,12/30/1899 19:12:00,12/30/1899 7:20:00,Ninigret Pond,4C
9/12/2016 0:00:00,12/30/1899 18:31:00,12/30/1899 6:06:00,Ninigret Pond,4S
9/12/2016 0:00:00,12/30/1899 18:40:00,12/30/1899 6:25:00,Ninigret Pond,4U
9/15/2016 0:00:00,12/30/1899 17:30:00,12/30/1899 6:14:00,Ninigret Pond,1C
9/15/2016 0:00:00,12/30/1899 17:35:00,12/30/1899 6:34:00,Ninigret Pond,1S
9/15/2016 0:00:00,12/30/1899 17:32:00,12/30/1899 6:24:00,Ninigret Pond,1U
9/15/2016 0:00:00,12/30/1899 17:47:00,12/30/1899 7:09:00,Ninigret Pond,2C
9/15/2016 0:00:00,12/30/1899 17:40:00,12/30/1899 6:46:00,Ninigret Pond,2S
9/15/2016 0:00:00,12/30/1899 17:44:00,12/30/1899 6:58:00,Ninigret Pond,2U
9/27/2016 0:00:00,12/30/1899 18:06:00,12/30/1899 6:36:00,Quonochontaug Pond,1A
9/27/2016 0:00:00,12/30/1899 18:13:00,12/30/1899 6:46:00,Quonochontaug Pond,1B
9/27/2016 0:00:00,12/30/1899 18:17:00,12/30/1899 6:51:00,Quonochontaug Pond,1C
9/27/2016 0:00:00,12/30/1899 18:23:00,12/30/1899 7:05:00,Quonochontaug Pond,1D
9/27/2016 0:00:00,12/30/1899 18:46:00,12/30/1899 7:46:00,Quonochontaug Pond,2A
9/27/2016 0:00:00,12/30/1899 18:50:00,12/30/1899 8:07:00,Quonochontaug Pond,2B
9/28/2016 0:00:00,12/30/1899 17:24:00,12/30/1899 7:15:00,Quonochontaug Pond,2C
9/28/2016 0:00:00,12/30/1899 17:28:00,12/30/1899 7:38:00,Quonochontaug Pond,2D
9/28/2016 0:00:00,12/30/1899 17:03:00,12/30/1899 6:43:00,Quonochontaug Pond,3A
9/28/2016 0:00:00,12/30/1899 17:11:00,12/30/1899 6:52:00,Quonochontaug Pond,3B
9/28/2016 0:00:00,12/30/1899 17:14:00,12/30/1899 7:08:00,Quonochontaug Pond,3C
9/28/2016 0:00:00,12/30/1899 17:18:00,12/30/1899 7:05:00,Quonochontaug Pond,3D
10/11/2016 0:00:00,,12/30/1899 7:54:00,Ninigret Pond,3C
10/11/2016 0:00:00,,12/30/1899 7:49:00,Ninigret Pond,3S
10/11/2016 0:00:00,,12/30/1899 7:47:00,Ninigret Pond,3U
10/11/2016 0:00:00,,12/30/1899 7:24:00,Ninigret Pond,4C
10/11/2016 0:00:00,,12/30/1899 7:00:00,Ninigret Pond,4S
10/11/2016 0:00:00,,12/30/1899 7:12:00,Ninigret Pond,4U
10/25/2016 0:00:00,12/30/1899 17:28:00,12/30/1899 6:44:00,Ninigret Pond,1C
10/25/2016 0:00:00,12/30/1899 17:36:00,12/30/1899 6:52:00,Ninigret Pond,1S
10/25/2016 0:00:00,12/30/1899 17:32:00,12/30/1899 6:47:00,Ninigret Pond,1U
10/25/2016 0:00:00,12/30/1899 17:47:00,12/30/1899 7:04:00,Ninigret Pond,2C
10/25/2016 0:00:00,12/30/1899 17:41:00,12/30/1899 6:56:00,Ninigret Pond,2S
10/25/2016 0:00:00,12/30/1899 17:44:00,12/30/1899 7:01:00,Ninigret Pond,2U
10/26/2016 0:00:00,12/30/1899 17:30:00,12/30/1899 6:42:00,Quonochontaug Pond,2C
10/26/2016 0:00:00,12/30/1899 17:33:00,12/30/1899 6:54:00,Quonochontaug Pond,2D
10/26/2016 0:00:00,12/30/1899 17:37:00,12/30/1899 7:11:00,Quonochontaug Pond,3A
10/26/2016 0:00:00,12/30/1899 17:40:00,12/30/1899 7:15:00,Quonochontaug Pond,3B
10/26/2016 0:00:00,12/30/1899 17:42:00,12/30/1899 7:26:00,Quonochontaug Pond,3C
10/26/2016 0:00:00,12/30/1899 17:45:00,12/30/1899 7:30:00,Quonochontaug Pond,3D
